DistrictID,Stream,District,System,Year,Type,SumOfTotal
325,700,Nushagak,Nush-mul,1972,Escapement,39850.56376
325,700,Nushagak,Nush-mul,1973,Escapement,210600.7728
325,700,Nushagak,Nush-mul,1974,Escapement,204190.1742
325,700,Nushagak,Nush-mul,1975,Escapement,832092.6013
325,700,Nushagak,Nush-mul,1976,Escapement,520302.5868
325,700,Nushagak,Nush-mul,1977,Escapement,611588.3606
325,700,Nushagak,Nush-mul,1978,Escapement,734040.0845
325,700,Nushagak,Nush-mul,1979,Escapement,551271.6622
325,700,Nushagak,Nush-mul,1980,Escapement,3669136.414
325,700,Nushagak,Nush-mul,1981,Escapement,1118872.875
325,700,Nushagak,Nush-mul,1982,Escapement,664579.7666
325,700,Nushagak,Nush-mul,1983,Escapement,446845.0461
325,700,Nushagak,Nush-mul,1984,Escapement,655739.2017
325,700,Nushagak,Nush-mul,1985,Escapement,551319.2218
325,700,Nushagak,Nush-mul,1986,Escapement,1095241.259
325,700,Nushagak,Nush-mul,1987,Escapement,429181.6128
325,700,Nushagak,Nush-mul,1988,Escapement,534459.8784
325,700,Nushagak,Nush-mul,1989,Escapement,567863.3443
325,700,Nushagak,Nush-mul,1990,Escapement,752513.138
325,700,Nushagak,Nush-mul,1991,Escapement,544748.2476
325,700,Nushagak,Nush-mul,1992,Escapement,768816.1441
325,700,Nushagak,Nush-mul,1993,Escapement,790926.9579
325,700,Nushagak,Nush-mul,1994,Escapement,563334.117
325,700,Nushagak,Nush-mul,1995,Escapement,311136.3458
325,700,Nushagak,Nush-mul,1996,Escapement,557057.3491
325,700,Nushagak,Nush-mul,1997,Escapement,412591.0367
325,700,Nushagak,Nush-mul,1998,Escapement,507532.2674
325,700,Nushagak,Nush-mul,1999,Escapement,344972.2727
325,700,Nushagak,Nush-mul,2000,Escapement,446286.4967
325,700,Nushagak,Nush-mul,2001,Escapement,897112.175
325,700,Nushagak,Nush-mul,2002,Escapement,349155.3099
325,700,Nushagak,Nush-mul,2003,Escapement,642092.8998
325,700,Nushagak,Nush-mul,2004,Escapement,543872.2652
325,700,Nushagak,Nush-mul,2005,Escapement,1106703
325,700,Nushagak,Nush-mul,2006,Escapement,548410
325,700,Nushagak,Nush-mul,2007,Escapement,518041
