"","Escapement","District Catches","EscapementObsError","OffshoreCatch","Extra Catches","Total Esc","Total Catch no Offshore","Total Catch","Run Size","Run Size no Offshore"
"1998",1110381.68433732,3264603.77301708,556.316000000108,311734.487419251,2321.089993341,1110938.00033732,3266924.86301042,3578659.35042967,4689597.35076699,4377862.86334774
"1999",1728440.7142132,4511723.02598115,-43.7139999999199,233862.789895033,7091.3724856,1728397.0002132,4518814.39846675,4752677.18836178,6481074.18857498,6247211.39867995
"2000",1037596.2769765,6754659.49600843,-5458.277,378387.278239717,3514.136826,1032137.9999765,6758173.63283443,7136560.91107415,8168698.91105065,7790311.63281093
"2001",973980.842506001,2565786.13924855,-5108.84250000003,27330.1189163806,4455.9204673,968872.000006001,2570242.05971585,2597572.17863223,3566444.17863823,3539114.05972185
"2002",1033506.220057,4300127.21186276,2585.78000000003,206243.566677605,1858.894942,1036092.000057,4301986.10680476,4508229.67348237,5544321.67353937,5338078.10686176
"2003",1200334.92733635,1998341.73443143,-48214.9269999999,62780.4207342661,4112.944085,1152120.00033635,2002454.67851643,2065235.09925069,3217355.09958705,3154574.67885278
"2004",1293792.67637684,9984498.3413546,-3648.67599999998,362636.675974094,5286.150977,1290144.00037684,9989784.4923316,10352421.1683057,11642565.1686825,11279928.4927084
"2005",1613763.42300758,7506806.87502014,7970.57700000005,266793.834849702,6869.6832908,1621734.00000758,7513676.55831094,7780470.39316064,9402204.39316822,9135410.55831852
"2006",1470117.68989347,6934491.95587323,-4959.68999999994,195338.768362201,18853.213015,1465157.99989347,6953345.16888823,7148683.93725043,8613841.9371439,8418503.1687817
"2007",1483817.7371464,5604083.45680502,-51317.737,280675.457389981,77773.502174,1432500.0001464,5681856.95897902,5962532.41636901,7395032.41651541,7114356.95912542
"2008",1254724.72421487,6241400.92257916,4843.27600000007,324164.461993584,118.8668904,1259568.00021487,6241519.78946956,6565684.25146314,7825252.25167802,7501087.78968443
"2009",1155490.2974947,10761211.6025465,-9214.29700000002,353873.146617874,8310.199892,1146276.0004947,10769521.8024385,11123394.9490563,12269670.949551,11915797.8029332
"2010",940335.418999301,4099568.22167443,-13281.419,108603.898707315,10424.11537,927053.999999301,4109992.33704443,4218596.23575175,5145650.23575105,5037046.33704373
"2011",965100.022546921,3433116.45963501,-3900.02260000003,203151.157374727,6717.400215,961199.999946921,3439833.85985001,3642985.01722473,4604185.01717166,4401033.85979693
"2012",1243543.8351113,4383927.8710095,-9643.83499999996,296773.696595123,8444.836732,1233900.0001113,4392372.7077415,4689146.40433662,5923046.40444792,5626272.7078528
"2013",1126004.28895243,3689621.19375959,-12374.2890000001,317120.686927322,4093.63161,1113629.99995243,3693714.82536959,4010835.51229691,5124465.51224934,4807344.82532202
"2014",1383609.5467483,3603683.94191575,-1143.54700000002,81288.4177267197,11064.85504,1382465.9997483,3614748.79695575,3696037.21468247,5078503.21443077,4997214.79670405
"2015",2188978.10338223,6182844.67247066,-28186.1030000001,163812.774019207,554.9285395,2160792.00038223,6183399.60101016,6347212.37502937,8508004.37541159,8344191.60139239
"2016",1875962.376786,7802771.0852192,-38702.3770000001,251482.169906812,336.3073716,1837259.999786,7803107.3925908,8054589.56249761,9891849.56228362,9640367.39237681
"2017",2635871.68291861,9406259.32032171,-34889.6830000002,433550.822263489,303.1896706,2600981.99991861,9406562.50999231,9840113.3322558,12441095.3321744,12007544.5099109
"2018",1560756.44183447,4253684.16950289,47600.558,81771.5391923395,160499.64009,1608356.99983447,4414183.80959289,4495955.34878523,6104312.34861969,6022540.80942736
"2019",2375950.28114173,12899605.2025924,-35740.2719999999,182501.639579871,11735.5688956,2340210.00914173,12911340.771488,13093842.4110679,15434052.4202096,15251550.7806298
"2020",2412280.997283,13112159.0427366,-22552.997,95331.489157297,4.46e-14,2389728.000283,13112159.0427366,13207490.5318939,15597218.5321769,15501887.0430196
"2021",1846975.3373724,5490644.46595356,-14779.3370000001,402706.534392288,0,1832196.0003724,5490644.46595356,5893351.00034585,7725547.00071825,7322840.46632597
