Catch, - , - , - , - , - , 217 ," 2,893,050 "," 1,297,559 "," 11,020 ", - , 0 ," 22,419 "," 17,629 ", - , - , - , 5 , - ," 4,241,900 ",,
Escapement, 0 , 0 , 0 , 0 , 0 ," 2,756 "," 2,035,582 "," 306,364 ", 1 , 0 , 0 ," 15,774 "," 4,162 ", 0 , 0 , 0 , 1 , 0 ," 2,364,641 ",,
Reallocated Esc Obs Error, - , - , - , - , - , 8 ," 5,683 ", 855 , 0 , - , 0 , 44 , 12 , - , - , - , 0 , - ," 6,601 ",,
Kvichak Set, NA , - , - , - , - , - ," 508,728 "," 296,945 "," 1,120 ", - , - ," 22,410 "," 5,602 ", - , - , - , - , NA ," 834,807 ",,
ARSHA, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , - ,,
NRSHA, NA , - , - , - , - , - ," 3,910 "," 4,576 ", - , - , - , 400 , 222 , - , - , - , - , NA ," 9,108 ",,
Naknek Set, NA , - , - , - , - , - ," 226,690 "," 138,718 ", 856 , - , - ," 9,501 "," 4,141 ", - , - , - , - , NA ," 379,905 ",,
Offshore Catch, 0 , 0 , 0 , 0 , 0 , 30 ," 56,543 "," 20,381 ", 130 , 0 , 0 , 703 , 317 , 0 , 0 , 0 , 0 , 0 ," 78,103 ",,
Total, 0 , 0 , 0 , 0 , 0 ," 3,011 "," 5,730,186 "," 2,065,398 "," 13,126 ", 0 , 0 ," 71,251 "," 32,085 ", 0 , 0 , 0 , 6 , 0 ," 7,915,064 ",,
,,,,,,,,,,,,,,,,,,,,,
Alagnak,0.1,0.2,0.3,0.4,0.5,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,TOTAL,,
Catch, - , - , - , - , - , 190 ," 432,696 "," 290,968 ", 1 , - , 0 ," 6,806 "," 4,298 ", - , - , - , 0 , - ," 734,959 ",,
Escapement, 0 , 0 , 0 , 0 , 0 ," 3,948 "," 616,655 "," 188,407 ", 0 , 0 , 0 ," 9,699 "," 2,783 ", 0 , 0 , 0 , 0 , 0 ," 821,493 ",,
Reallocated Esc Obs Error, - , - , - , - , - , (5), (777), (237), (0), - , (0), (12), (4), - , - , - , (0), - ," (1,035)",,
Kvichak Set, NA , - , - , - , - , - ," 111,721 "," 65,212 ", 246 , - , - ," 4,922 "," 1,230 ", - , - , - , - , NA ," 183,330 ",,
ARSHA, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , - ,,
NRSHA, NA , - , - , - , - , - ," 2,151 "," 2,517 ", - , - , - , 220 , 122 , - , - , - , - , NA ," 5,010 ",,
Naknek Set, NA , - , - , - , - , - ," 52,661 "," 32,225 ", 199 , - , - ," 2,207 ", 962 , - , - , - , - , NA ," 88,253 ",,
Offshore Catch, 0 , 0 , 0 , 0 , 0 , 42 ," 12,204 "," 5,816 ", 4 , 0 , 0 , 239 , 94 , 0 , 0 , 0 , 0 , 0 ," 18,400 ",,
Total, 0 , 0 , 0 , 0 , 0 ," 4,174 "," 1,227,311 "," 584,907 ", 451 , 0 , 0 ," 24,081 "," 9,487 ", 0 , 0 , 0 , 0 , 0 ," 1,850,411 ",,
,,,,,,,,,,,,,,,,,,,,,
Naknek  ,0.1,0.2,0.3,0.4,0.5,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,TOTAL,,
Catch, - , - , - , - , - , 72 ," 2,260,892 "," 1,929,665 ", 944 , - , 0 ," 103,768 "," 104,284 ", - , - , - , 5 , - ," 4,399,630 ",,
Escapement, 0 , 0 , 0 , 0 , 0 ," 1,119 "," 2,105,162 "," 666,630 ", 41 , 0 , 1 ," 96,620 "," 36,026 ", 0 , 0 , 0 , 2 , 0 ," 2,905,601 ",,
Reallocated Esc Obs Error, - , - , - , - , - , 2 ," 4,253 "," 1,347 ", 0 , - , 0 , 195 , 73 , - , - , - , 0 , - ," 5,869 ",,
Kvichak Set, NA , - , - , - , - , - ," 108,518 "," 63,342 ", 239 , - , - ," 4,780 "," 1,195 ", - , - , - , - , NA ," 178,075 ",,
